Date,T1,T2,T3,T4,T5,Close
1989-09-04,-0.7750858580155702,-0.7718812129607618,-0.7748676350231872,-0.7739199814729318,-0.7680279606785934,-0.7698712377600869
1989-09-11,-0.7718812129607618,-0.7748676350231872,-0.7739199814729318,-0.7680279606785934,-0.7698712377600869,-0.7736290174830879
1989-09-18,-0.7748676350231872,-0.7739199814729318,-0.7680279606785934,-0.7698712377600869,-0.7736290174830879,-0.773131954000438
1989-09-25,-0.7739199814729318,-0.7680279606785934,-0.7698712377600869,-0.7736290174830879,-0.773131954000438,-0.7733521975760836
1989-10-02,-0.7680279606785934,-0.7698712377600869,-0.7736290174830879,-0.773131954000438,-0.7733521975760836,-0.7638837444065812
1989-10-09,-0.7698712377600869,-0.7736290174830879,-0.773131954000438,-0.7733521975760836,-0.7638837444065812,-0.7665731407293742
1989-10-16,-0.7736290174830879,-0.773131954000438,-0.7733521975760836,-0.7638837444065812,-0.7665731407293742,-0.7756455595793671
1989-10-23,-0.773131954000438,-0.7733521975760836,-0.7638837444065812,-0.7665731407293742,-0.7756455595793671,-0.7788865751329055
1989-10-30,-0.7733521975760836,-0.7638837444065812,-0.7665731407293742,-0.7756455595793671,-0.7788865751329055,-0.7811678136366119
1989-11-06,-0.7638837444065812,-0.7665731407293742,-0.7756455595793671,-0.7788865751329055,-0.7811678136366119,-0.7834894638055745
1989-11-13,-0.7665731407293742,-0.7756455595793671,-0.7788865751329055,-0.7811678136366119,-0.7834894638055745,-0.7796442938564573
1989-11-20,-0.7756455595793671,-0.7788865751329055,-0.7811678136366119,-0.7834894638055745,-0.7796442938564573,-0.7784814481887131
1989-11-27,-0.7788865751329055,-0.7811678136366119,-0.7834894638055745,-0.7796442938564573,-0.7784814481887131,-0.7733138064940904
1989-12-04,-0.7811678136366119,-0.7834894638055745,-0.7796442938564573,-0.7784814481887131,-0.7733138064940904,-0.7704405370943823
1989-12-11,-0.7834894638055745,-0.7796442938564573,-0.7784814481887131,-0.7733138064940904,-0.7704405370943823,-0.7687654735695173
1989-12-18,-0.7796442938564573,-0.7784814481887131,-0.7733138064940904,-0.7704405370943823,-0.7687654735695173,-0.7754172336706701
1989-12-25,-0.7784814481887131,-0.7733138064940904,-0.7704405370943823,-0.7687654735695173,-0.7754172336706701,-0.7696742308919636
1990-01-01,-0.7733138064940904,-0.7704405370943823,-0.7687654735695173,-0.7754172336706701,-0.7696742308919636,-0.7629482143559025
1990-01-08,-0.7704405370943823,-0.7687654735695173,-0.7754172336706701,-0.7696742308919636,-0.7629482143559025,-0.7717822043808844
1990-01-15,-0.7687654735695173,-0.7754172336706701,-0.7696742308919636,-0.7629482143559025,-0.7717822043808844,-0.7812163076349192
1990-01-22,-0.7754172336706701,-0.7696742308919636,-0.7629482143559025,-0.7717822043808844,-0.7812163076349192,-0.7909878482938425
1990-01-29,-0.7696742308919636,-0.7629482143559025,-0.7717822043808844,-0.7812163076349192,-0.7909878482938425,-0.7924345859100106
1990-02-05,-0.7629482143559025,-0.7717822043808844,-0.7812163076349192,-0.7909878482938425,-0.7924345859100106,-0.7874093953354155
1990-02-12,-0.7717822043808844,-0.7812163076349192,-0.7909878482938425,-0.7924345859100106,-0.7874093953354155,-0.7876357006608495
1990-02-19,-0.7812163076349192,-0.7909878482938425,-0.7924345859100106,-0.7874093953354155,-0.7876357006608495,-0.793461547353331
1990-02-26,-0.7909878482938425,-0.7924345859100106,-0.7874093953354155,-0.7876357006608495,-0.793461547353331,-0.7879630351494239
1990-03-05,-0.7924345859100106,-0.7874093953354155,-0.7876357006608495,-0.793461547353331,-0.7879630351494239,-0.7823619783449296
1990-03-12,-0.7874093953354155,-0.7876357006608495,-0.793461547353331,-0.7879630351494239,-0.7823619783449296,-0.7814123042114114
1990-03-19,-0.7876357006608495,-0.793461547353331,-0.7879630351494239,-0.7823619783449296,-0.7814123042114114,-0.7801534808386841
1990-03-26,-0.793461547353331,-0.7879630351494239,-0.7823619783449296,-0.7814123042114114,-0.7801534808386841,-0.7793230211176714
1990-04-02,-0.7879630351494239,-0.7823619783449296,-0.7814123042114114,-0.7801534808386841,-0.7793230211176714,-0.7788421223011238
1990-04-09,-0.7823619783449296,-0.7814123042114114,-0.7801534808386841,-0.7793230211176714,-0.7788421223011238,-0.7772488923984024
1990-04-16,-0.7814123042114114,-0.7801534808386841,-0.7793230211176714,-0.7788421223011238,-0.7772488923984024,-0.7790219542115134
1990-04-23,-0.7801534808386841,-0.7793230211176714,-0.7788421223011238,-0.7772488923984024,-0.7790219542115134,-0.7886965068738221
1990-04-30,-0.7793230211176714,-0.7788421223011238,-0.7772488923984024,-0.7790219542115134,-0.7886965068738221,-0.785459532486809
1990-05-07,-0.7788421223011238,-0.7772488923984024,-0.7790219542115134,-0.7886965068738221,-0.785459532486809,-0.7754111719208815
1990-05-14,-0.7772488923984024,-0.7790219542115134,-0.7886965068738221,-0.785459532486809,-0.7754111719208815,-0.7651223619466804
1990-05-21,-0.7790219542115134,-0.7886965068738221,-0.785459532486809,-0.7754111719208815,-0.7651223619466804,-0.7617742554802132
1990-05-28,-0.7886965068738221,-0.785459532486809,-0.7754111719208815,-0.7651223619466804,-0.7617742554802132,-0.7580028368201882
1990-06-04,-0.785459532486809,-0.7754111719208815,-0.7651223619466804,-0.7617742554802132,-0.7580028368201882,-0.7552780802902962
